"","pmid","from","to"
"10824","27081038","-7545347992112963689","3162786446906477157"
"10965","27109508","4496191920649739347","7057200899772785291"
"10966","27109508","-2265770499832369487","7057200899772785291"
"10967","27109508","-8939608412306483495","7057200899772785291"
"10968","27109508","-2109470401482526186","7057200899772785291"
"10969","27109508","-2200566318786854020","7057200899772785291"
"10970","27109508","4496191920649739347","-6257322556513960002"
"10971","27109508","-2265770499832369487","-6257322556513960002"
"10972","27109508","-8939608412306483495","-6257322556513960002"
"10973","27109508","-2109470401482526186","-6257322556513960002"
"10974","27109508","-2200566318786854020","-6257322556513960002"
"10975","27109508","4496191920649739347","4949518565740680060"
"10976","27109508","-2265770499832369487","4949518565740680060"
"10977","27109508","-8939608412306483495","4949518565740680060"
"10978","27109508","-2109470401482526186","4949518565740680060"
"10979","27109508","-2200566318786854020","4949518565740680060"
"10980","27109508","4496191920649739347","8368493177956110740"
"10981","27109508","-2265770499832369487","8368493177956110740"
"10982","27109508","-8939608412306483495","8368493177956110740"
"10983","27109508","-2109470401482526186","8368493177956110740"
"10984","27109508","-2200566318786854020","8368493177956110740"
"10985","27114443","6710700564871770653","3981538951477565111"
"11040","27118403","3420739253403379952","9088865850712551161"
"11041","27118403","3420739253403379952","5251233321817222374"
"11055","27129155","2440327587014975898","7052893636395061973"
"11133","27137475","963155521800006415","7665976553575355703"
"11134","27137475","-2531875720891133112","7665976553575355703"
"11135","27137475","4496191920649739347","2277073691551812866"
"11195","27145281","4496191920649739347","-3422479174796088778"
"11196","27145281","-910409836652376082","-3422479174796088778"
"11229","27157619","4496191920649739347","-4209942049145233504"
"11230","27157619","-595680398785564689","-4209942049145233504"
"11231","27157619","4138631179547403938","-6421831433605486762"
"11232","27157619","8171694481960509149","108085853077470225"
"11233","27157619","4496191920649739347","108085853077470225"
"11234","27157619","-4169215600128704571","108085853077470225"
"11237","27159593","375196400634877094","4900126377957793491"
"11238","27159593","375196400634877094","862361114644015943"
"11239","27159593","375196400634877094","443848327819137812"
"11240","27159593","375196400634877094","-8897119537686986438"
"11444","27174491","-8015618763951062393","-6195805560231552846"
"11445","27174491","778593712176295517","-6195805560231552846"
"11561","27211267","5039342224281592929","-800659689219610361"
"11562","27211268","7158737734176060100","-4382916669220838228"
"11563","27211268","-150742751759308095","8402354262327958491"
"11564","27211268","-150742751759308095","-6426247625480517468"
"11565","27211268","-150742751759308095","-7329013516749237851"
"11566","27211268","-150742751759308095","8519529802599800317"
"11567","27211269","-150742751759308095","3303681828928339709"
"11568","27211269","-3801419600830199048","3303681828928339709"
"11569","27211269","-5052347787814934214","-6276606724308715807"
"11570","27211269","-3801419600830199048","-6276606724308715807"
"11571","27211269","-5052347787814934214","3959319250503540706"
"11572","27211269","-3801419600830199048","3959319250503540706"
"11573","27211269","-5052347787814934214","4220995459433137566"
"11574","27211269","-3801419600830199048","4220995459433137566"
"11575","27211269","-5052347787814934214","-7648338950413361994"
"11576","27211269","-3801419600830199048","-7648338950413361994"
"11577","27211269","-5052347787814934214","-7622154273240500336"
"11578","27211269","-3801419600830199048","-7622154273240500336"
"11579","27211269","-5052347787814934214","-2080994550394489034"
"11580","27211269","-3801419600830199048","-2080994550394489034"
"11602","27221729","-1014147375867388215","3493514547331037362"
"11603","27221729","5510460828863833540","3493514547331037362"
"11604","27221729","4632477083328856853","3493514547331037362"
"11605","27221729","5829712284417423553","3493514547331037362"
"11606","27221729","-6669128456047834903","3493514547331037362"
"11607","27221729","-290649908450582724","3493514547331037362"
"11608","27221729","-290649908450582724","1367645691365341118"
"11609","27221729","5510460828863833540","1367645691365341118"
"11610","27221729","5829712284417423553","-1352472139412417435"
"11611","27221729","5510460828863833540","-1352472139412417435"
"11612","27221729","4632477083328856853","-1352472139412417435"
"11613","27221729","-6669128456047834903","-1352472139412417435"
"11614","27221729","-290649908450582724","-1352472139412417435"
"11615","27221729","-290649908450582724","-584173073577998456"
"11616","27221729","5510460828863833540","-584173073577998456"
"11617","27221729","4632477083328856853","-584173073577998456"
"11618","27221729","5829712284417423553","-584173073577998456"
"11619","27221729","-6669128456047834903","-584173073577998456"
"11620","27221729","-290649908450582724","-3586416418257805002"
